Branch,Quarter,Date,Scenario,Volume
Cochin, Q1      ,01-04-2027,Baseline,27216.4
Cochin, Q2      ,01-07-2027,Baseline,10065.5
Cochin, Q3      ,01-10-2027,Baseline,13946.2
Cochin, Q4      ,01-01-2028,Baseline,26786.8
Cochin, Q1      ,01-04-2028,Baseline,29316.9
Cochin, Q2      ,01-07-2028,Baseline,10520.6
Cochin, Q3      ,01-10-2028,Baseline,15096.7
Cochin, Q4      ,01-01-2029,Baseline,28897.3
Cochin,2,01-04-2029,Baseline,30351.348146560922
Cochin,3,01-07-2029,Baseline,11908.467857340249
Cochin,4,01-10-2029,Baseline,16560.841345858862
Secundarabad,Q1,01-04-2019,Baseline,11915.5
Secundarabad,Q2,01-07-2019,Baseline,5985
Secundarabad,Q3,01-10-2019,Baseline,13265
Secundarabad,Q4,01-01-2020,Baseline,25772.5
Secundarabad,Q1,01-04-2020,Baseline,3831
Secundarabad,Q2,01-07-2020,Baseline,5307
Secundarabad,Q3,01-10-2020,Baseline,10475
Secundarabad,Q4,01-01-2021,Baseline,25398.5
Secundarabad,Q1,01-04-2021,Baseline,13957.5
Secundarabad,Q2,01-07-2021,Baseline,7921
Secundarabad,Q3,01-10-2021,Baseline,20651.5
Secundarabad,Q4,01-01-2022,Baseline,19347
Secundarabad,Q1,01-04-2022,Baseline,21203
Secundarabad,Q2,01-07-2022,Baseline,7425
Secundarabad,Q3,01-10-2022,Baseline,23029.5
Secundarabad,Q4,01-01-2023,Baseline,31026
Secundarabad,Q1,01-04-2023,Baseline,19249.5
Secundarabad,Q2,01-07-2023,Baseline,10750
Secundarabad,Q3,01-10-2023,Baseline,35844.5
Secundarabad,Q4,01-01-2024,Baseline,41422
Secundarabad,Q1,01-04-2024,Baseline,40166
Secundarabad,Q2,01-07-2024,Baseline,11002
Secundarabad,Q3,01-10-2024,Baseline,41599.8950381928
Secundarabad,Q4,01-01-2025,Baseline,44935.4882354975
Secundarabad, Q1      ,01-04-2025,Baseline,42245.1
Secundarabad, Q2      ,01-07-2025,Baseline,11507.2
Secundarabad, Q3      ,01-10-2025,Baseline,45764.3
Secundarabad, Q4      ,01-01-2026,Baseline,49495.6
Secundarabad, Q1      ,01-04-2026,Baseline,44324.2
Secundarabad, Q2      ,01-07-2026,Baseline,12012.4
Secundarabad, Q3      ,01-10-2026,Baseline,49929.7
Secundarabad, Q4      ,01-01-2027,Baseline,54056.1
Secundarabad, Q1      ,01-04-2027,Baseline,46403.3
Secundarabad, Q2      ,01-07-2027,Baseline,12517.6
Secundarabad, Q3      ,01-10-2027,Baseline,54095.1
Secundarabad, Q4      ,01-01-2028,Baseline,58616.6
Secundarabad, Q1      ,01-04-2028,Baseline,48482.4
Secundarabad, Q2      ,01-07-2028,Baseline,13022.8
Secundarabad, Q3      ,01-10-2028,Baseline,58260.5
Secundarabad, Q4      ,01-01-2029,Baseline,63177.1
Secundarabad,2,01-04-2029,Baseline,52224.26393346426
Secundarabad,3,01-07-2029,Baseline,17459.93579276043
Secundarabad,4,01-10-2029,Baseline,61946.70818301234
Vijayawada,Q1,01-04-2019,Baseline,19134
Vijayawada,Q2,01-07-2019,Baseline,4208
Vijayawada,Q3,01-10-2019,Baseline,6790
Vijayawada,Q4,01-01-2020,Baseline,11564
Vijayawada,Q1,01-04-2020,Baseline,4766
Vijayawada,Q2,01-07-2020,Baseline,5568
Vijayawada,Q3,01-10-2020,Baseline,7825
Vijayawada,Q4,01-01-2021,Baseline,11362.5
Vijayawada,Q1,01-04-2021,Baseline,10938
Vijayawada,Q2,01-07-2021,Baseline,5437
Vijayawada,Q3,01-10-2021,Baseline,6224.5
Vijayawada,Q4,01-01-2022,Baseline,9642
Vijayawada,Q1,01-04-2022,Baseline,11184
Vijayawada,Q2,01-07-2022,Baseline,5054.5
Vijayawada,Q3,01-10-2022,Baseline,5435
Vijayawada,Q4,01-01-2023,Baseline,13037.5
